City served,FAA,IATA,ICAO,Airport name,
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport,
Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,
Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,
Ponce,PSE,PSE,TJPS,Mercedita International Airport,
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport066°00′07″W,
San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,
Mayagüez,MAZ,MAZ,TJMZ,Eugenio María de Hostos Airport,
Arecibo,ABO,ARE,TJAB,Antonio (Nery) Juarbe Pol Airport,
Humacao,X63,HUC,,Humacao Airport,
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,
Yigo,UAM,UAM,PGUA,Andersen Air Force Base,
"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport,
"Fitiuta, Ta‘u",FAQ,FTI,NSFQ,,
Ofu,Z08,OFU,NSAS,Ofu Airport,GA
Ta‘u,HI36,TAV,,Tau Airport,
"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),
Rota Island,GRO,ROP,PGRO,Rota International Airport,
Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),
"Shomu-Shon, Pagan Island",TT01,,,Pagan Airstrip,
"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,
"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,
"Charlotte Amalie, St. Thomas",VI22,SPB,,Charlotte Amalie Harbor Seaplane Base (St. Thomas SPB),
"Christiansted, St. Croix",VI32,SSB,,Christiansted Harbor Seaplane Base,
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport,
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,
"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,
"Hana, Maui",HNM,HNM,PHHN,Hana Airport,
"Kalaupapa, Molokai",LUP,LUP,PHLU,Kalaupapa Airport,
